mandelbrot ; 237.580307006835937500, 199.752319335937500000, 3.761260986328125000,  ,  9215.43 
mandelbrot ; 249.047943115234375000, 208.940734863281250000, 4.829147338867187500,  ,  9212.69 
mandelbrot ; 255.363021850585937500, 211.074859619140625000, 6.783538818359375000,  ,  9515.85 
mandelbrot ; 245.459945678710937500, 200.503158569335937500, 6.229827880859375000,  ,  9755.59 
mandelbrot ; 244.288375854492187500, 200.153762817382812500, 5.474212646484375000,  ,  9745.47 
mandelbrot ; 246.156814575195312500, 203.548767089843750000, 4.258758544921875000,  ,  9672.92 
mandelbrot ; 244.917495727539062500, 202.247665405273437500, 4.252868652343750000,  ,  9686.9 
mandelbrot ; 243.891571044921875000, 201.104141235351562500, 4.242889404296875000,  ,  9725.6 
mandelbrot ; 243.146469116210937500, 200.109848022460937500, 4.309768676757812500,  ,  9756.22 
mandelbrot ; 243.498870849609375000, 200.350479125976562500, 4.294204711914062500,  ,  9775.94 
mandelbrot ; 242.651412963867187500, 199.342422485351562500, 4.334381103515625000,  ,  9795.76 
mandelbrot ; 237.744262695312500000, 194.145675659179687500, 4.297119140625000000,  ,  9905.95 
mandelbrot ; 244.865997314453125000, 200.778335571289062500, 4.985031127929687500,  ,  9835.55 
mandelbrot ; 240.434982299804687500, 195.758911132812500000, 4.919113159179687500,  ,  9996.12 
mandelbrot ; 236.816223144531250000, 192.969161987304687500, 4.317153930664062500,  ,  9985.72 
mandelbrot ; 239.585403442382812500, 196.089324951171875000, 4.326522827148437500,  ,  9885.18 
mandelbrot ; 237.560104370117187500, 193.614898681640625000, 4.388702392578125000,  ,  9975.92 
mandelbrot ; 234.923553466796875000, 190.685226440429687500, 4.373840332031250000,  ,  10065.5 
mandelbrot ; 237.219299316406250000, 193.192428588867187500, 4.422027587890625000,  ,  9985.97 
mandelbrot ; 237.963745117187500000, 193.831008911132812500, 4.384658813476562500,  ,  10035.8 
mandelbrot ; 235.961181640625000000, 191.917968750000000000, 4.347793579101562500,  ,  10045.5 
mandelbrot ; 236.434494018554687500, 192.259231567382812500, 4.349639892578125000,  ,  10065.5 
mandelbrot ; 237.378387451171875000, 193.268249511718750000, 4.381973266601562500,  ,  10005.6 
mandelbrot ; 236.232208251953125000, 191.839385986328125000, 4.387207031250000000,  ,  10077.1 
mandelbrot ; 235.911087036132812500, 191.565841674804687500, 4.423660278320312500,  ,  10037.9 
mandelbrot ; 238.196411132812500000, 194.076385498046875000, 4.392211914062500000,  ,  9975.43 
mandelbrot ; 235.626419067382812500, 191.159042358398437500, 4.407791137695312500,  ,  10085.9 
mandelbrot ; 236.262817382812500000, 191.628356933593750000, 4.442916870117187500,  ,  10105.2 
mandelbrot ; 235.082122802734375000, 190.664413452148437500, 4.424789428710937500,  ,  10085.3 
mandelbrot ; 235.836791992187500000, 191.632751464843750000, 4.405731201171875000,  ,  10045 
n-body ; 333.823028564453125000, 275.813858032226562500, 7.572158813476562500,  ,  12642.8 
n-body ; 315.181701660156250000, 252.694366455078125000, 8.732513427734375000,  ,  13383 
n-body ; 303.625457763671875000, 239.059860229492187500, 8.915237426757812500,  ,  13923 
n-body ; 308.509826660156250000, 245.183761596679687500, 8.470733642578125000,  ,  13653.1 
n-body ; 306.089187622070312500, 245.168365478515625000, 6.022918701171875000,  ,  13683.1 
n-body ; 302.487960815429687500, 241.334960937500000000, 5.979797363281250000,  ,  13773.1 
n-body ; 305.762374877929687500, 244.773117065429687500, 6.045761108398437500,  ,  13682.6 
n-body ; 304.235946655273437500, 243.191925048828125000, 5.988754272460937500,  ,  13742.7 
n-body ; -65234.163848876953125000, 240.616592407226562500, 6.013687133789062500,  ,  13832.9 
n-body ; 183.519546508789062500, 143.368850708007812500, 3.874053955078125000,  ,  9362.88 
n-body ; 318.925918579101562500, 259.480651855468750000, 6.079345703125000000,  ,  13293.4 
n-body ; 306.275878906250000000, 245.016632080078125000, 6.142211914062500000,  ,  13763.4 
n-body ; 184.265014648437500000, 144.086044311523437500, 3.902145385742187500,  ,  9352.9 
n-body ; 318.548400878906250000, 259.151000976562500000, 5.932952880859375000,  ,  13322.6 
n-body ; 309.806610107421875000, 248.804595947265625000, 6.072265625000000000,  ,  13682.9 
n-body ; 301.650695800781250000, 240.218002319335937500, 6.072662353515625000,  ,  13862.6 
n-body ; 404.573684692382812500, 327.422439575195312500, 7.565505981445312500,  ,  17372.9 
n-body ; 304.580551147460937500, 242.519897460937500000, 6.470672607421875000,  ,  13852.7 
n-body ; 303.522689819335937500, 241.886978149414062500, 6.115402221679687500,  ,  13862.9 
n-body ; 307.235000610351562500, 246.160781860351562500, 6.051315307617187500,  ,  13713.2 
n-body ; 304.308349609375000000, 242.554519653320312500, 6.074356079101562500,  ,  13923 
n-body ; 304.938491821289062500, 244.074401855468750000, 5.969985961914062500,  ,  13723 
n-body ; 300.869125366210937500, 238.292083740234375000, 6.533264160156250000,  ,  14022.8 
n-body ; 310.659469604492187500, 247.631439208984375000, 6.227249145507812500,  ,  14222.8 
n-body ; 311.956283569335937500, 249.221237182617187500, 6.223876953125000000,  ,  14132.9 
n-body ; 314.691329956054687500, 251.936935424804687500, 6.158554077148437500,  ,  14122.9 
n-body ; 396.384460449218750000, 318.305831909179687500, 8.607116699218750000,  ,  17312.8 
n-body ; 301.086578369140625000, 238.862686157226562500, 6.321929931640625000,  ,  13973 
n-body ; 305.006286621093750000, 243.851943969726562500, 6.001251220703125000,  ,  13773 
n-body ; 304.183364868164062500, 242.902435302734375000, 6.042633056640625000,  ,  13783 
