mandelbrot ; 69.477188110351562500, 58.765838623046875000, 0.985519409179687500,  ,  2695.42 
mandelbrot ; 70.824218750000000000, 59.984573364257812500, 0.981201171875000000,  ,  2694.55 
mandelbrot ; 71.882431030273437500, 60.868194580078125000, 1.021575927734375000,  ,  2698.47 
mandelbrot ; 72.911560058593750000, 61.424530029296875000, 1.395278930664062500,  ,  2697.11 
mandelbrot ; 73.667175292968750000, 62.264053344726562500, 1.206939697265625000,  ,  2696.86 
mandelbrot ; 74.924575805664062500, 63.318450927734375000, 1.293823242187500000,  ,  2696.97 
mandelbrot ; 76.564773559570312500, 64.418701171875000000, 1.712860107421875000,  ,  2699.48 
mandelbrot ; 77.333206176757812500, 65.298110961914062500, 1.487808227539062500,  ,  2697.15 
mandelbrot ; 74.759246826171875000, 62.121032714843750000, 1.579650878906250000,  ,  2815.67 
mandelbrot ; 73.382522583007812500, 60.195449829101562500, 1.932601928710937500,  ,  2861.28 
mandelbrot ; 76.606231689453125000, 63.779174804687500000, 1.675567626953125000,  ,  2803.07 
mandelbrot ; 72.751251220703125000, 59.169326782226562500, 2.044052124023437500,  ,  2907.54 
mandelbrot ; 72.556915283203125000, 59.229660034179687500, 1.753051757812500000,  ,  2911.07 
mandelbrot ; 73.699096679687500000, 60.096786499023437500, 2.072387695312500000,  ,  2897.45 
mandelbrot ; 72.543609619140625000, 59.260635375976562500, 1.698928833007812500,  ,  2908.93 
mandelbrot ; 71.823944091796875000, 58.144653320312500000, 2.062835693359375000,  ,  2926.32 
mandelbrot ; 68.677261352539062500, 55.525451660156250000, 1.273910522460937500,  ,  3018.41 
mandelbrot ; 73.019302368164062500, 60.378448486328125000, 1.257247924804687500,  ,  2882.98 
mandelbrot ; 73.607528686523437500, 61.012985229492187500, 1.258422851562500000,  ,  2863.94 
mandelbrot ; 75.192550659179687500, 62.518249511718750000, 1.291870117187500000,  ,  2861.11 
mandelbrot ; 71.414733886718750000, 58.532089233398437500, 1.273040771484375000,  ,  2936.27 
mandelbrot ; 72.092147827148437500, 59.278442382812500000, 1.288894653320312500,  ,  2912.19 
mandelbrot ; 68.673217773437500000, 55.527465820312500000, 1.269424438476562500,  ,  3019.37 
mandelbrot ; 72.531356811523437500, 59.816406250000000000, 1.265197753906250000,  ,  2898.86 
mandelbrot ; 72.335739135742187500, 59.589355468750000000, 1.269378662109375000,  ,  2903.68 
mandelbrot ; 73.163711547851562500, 60.489898681640625000, 1.265960693359375000,  ,  2877.99 
mandelbrot ; 75.398666381835937500, 62.786071777343750000, 1.303527832031250000,  ,  2839.32 
mandelbrot ; 71.816848754882812500, 58.883972167968750000, 1.300674438476562500,  ,  2931.08 
mandelbrot ; 71.088562011718750000, 58.141433715820312500, 1.286514282226562500,  ,  2942.98 
mandelbrot ; 71.947540283203125000, 59.065277099609375000, 1.303176879882812500,  ,  2921.64 
fannkuch-redux ; 387.466659545898437500, 329.966400146484375000, 7.413681030273437500,  ,  12776.5 
fannkuch-redux ; 371.842681884765625000, 309.008422851562500000, 8.652130126953125000,  ,  13603.4 
fannkuch-redux ; 364.577056884765625000, 299.863372802734375000, 8.969573974609375000,  ,  13931.6 
fannkuch-redux ; 359.410705566406250000, 296.487808227539062500, 7.369125366210937500,  ,  13857.6 
fannkuch-redux ; 358.102539062500000000, 296.233734130859375000, 6.104949951171875000,  ,  13922 
fannkuch-redux ; 355.607147216796875000, 293.616836547851562500, 6.061157226562500000,  ,  13972.3 
fannkuch-redux ; 358.279953002929687500, 296.333145141601562500, 6.067138671875000000,  ,  13946.7 
fannkuch-redux ; 356.930572509765625000, 295.271072387695312500, 6.064392089843750000,  ,  13865.1 
fannkuch-redux ; 353.648513793945312500, 291.690002441406250000, 6.110214233398437500,  ,  13958.4 
fannkuch-redux ; 360.191711425781250000, 298.304244995117187500, 6.092697143554687500,  ,  13939.8 
fannkuch-redux ; 355.082290649414062500, 293.213684082031250000, 6.137054443359375000,  ,  13917.5 
fannkuch-redux ; 354.950531005859375000, 293.031738281250000000, 6.089981079101562500,  ,  13948 
fannkuch-redux ; 354.166976928710937500, 292.031967163085937500, 6.194091796875000000,  ,  13991.2 
fannkuch-redux ; 354.382843017578125000, 292.580001831054687500, 6.100280761718750000,  ,  13906.5 
fannkuch-redux ; 353.821929931640625000, 291.768539428710937500, 6.122390747070312500,  ,  13974.7 
fannkuch-redux ; 356.955429077148437500, 294.805984497070312500, 6.143493652343750000,  ,  13985 
fannkuch-redux ; 354.316085815429687500, 292.230178833007812500, 6.082122802734375000,  ,  13981.6 
fannkuch-redux ; 353.896423339843750000, 291.427322387695312500, 6.535202026367187500,  ,  13960.5 
fannkuch-redux ; 354.094924926757812500, 292.272537231445312500, 6.110305786132812500,  ,  13903.4 
fannkuch-redux ; 356.188812255859375000, 294.346740722656250000, 6.135803222656250000,  ,  13878.2 
fannkuch-redux ; 354.562530517578125000, 292.243667602539062500, 6.176086425781250000,  ,  13992.3 
fannkuch-redux ; 355.427963256835937500, 292.775482177734375000, 6.586410522460937500,  ,  13974.4 
fannkuch-redux ; 355.995529174804687500, 293.834457397460937500, 6.125289916992187500,  ,  13979.1 
fannkuch-redux ; 355.661132812500000000, 293.355834960937500000, 6.120895385742187500,  ,  14027 
fannkuch-redux ; 354.618240356445312500, 292.331008911132812500, 6.181564331054687500,  ,  14006 
fannkuch-redux ; 354.417495727539062500, 291.752563476562500000, 6.600616455078125000,  ,  13988.4 
fannkuch-redux ; 355.758224487304687500, 293.640655517578125000, 6.129852294921875000,  ,  13980.9 
