Test,PKG,CPU,Time,Code,Code_Type,Compiler,Compiler_Type,Time_comp,Time_comp_cat,Space_comp,Space_comp_cat,Nested_loops,Simple_cond,Complex_cond,Recursion_calls,Source_LOC,NR_functions,NR_param,cyc_comp,Consumption
k-nucleotide ,0.0,0.0,0.673,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.686,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.624,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.626,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.672,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.595,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.608,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.654,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.584,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0,0.0,0.636,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0
k-nucleotide ,0.0161285400390625,0.0118408203125,1.259,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0279693603515625
k-nucleotide ,0.016876220703125,0.0128021240234375,0.722,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0296783447265625
k-nucleotide ,0.0187530517578125,0.0147247314453125,0.636,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.033477783203125
k-nucleotide ,0.019561767578125,0.0156097412109375,0.709,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0351715087890625
k-nucleotide ,0.0198516845703125,0.0157318115234375,0.68,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.03558349609375
k-nucleotide ,0.020263671875,0.0162200927734375,0.657,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0364837646484375
k-nucleotide ,0.020477294921875,0.0162811279296875,0.662,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0367584228515625
k-nucleotide ,0.02056884765625,0.01654052734375,0.61,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.037109375
k-nucleotide ,0.0206146240234375,0.0166778564453125,0.583,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.03729248046875
k-nucleotide ,0.0207672119140625,0.0167999267578125,0.599,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.037567138671875
k-nucleotide ,0.0208892822265625,0.016845703125,0.67,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0377349853515625
k-nucleotide ,0.0210113525390625,0.0169830322265625,0.581,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.037994384765625
k-nucleotide ,0.0212554931640625,0.0172119140625,0.622,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0384674072265625
k-nucleotide ,0.021270751953125,0.0172882080078125,0.592,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0385589599609375
k-nucleotide ,0.0214385986328125,0.01751708984375,0.674,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0389556884765625
k-nucleotide ,0.021820068359375,0.017852783203125,0.623,C,1,GCC 11.2.0,1,O(n+k log k),5,O(n+k),4,2,9,4,0,287,5,12,29,0.0396728515625
